Baby,Time,Duration(minutes),Note
Isla,"2020-04-07, 3:24 AM",116
Isla,"2020-04-06, 10:11 PM",221
Isla,"2020-04-06, 6:07 PM",135
Isla,"2020-04-06, 2:18 PM",148
Isla,"2020-04-06, 9:44 AM",209
Isla,"2020-04-06, 4:01 AM",269
Isla,"2020-04-06, 12:40 AM",125
Isla,"2020-04-05, 6:30 PM",225
Isla,"2020-04-05, 1:48 PM",174
Isla,"2020-04-05, 11:45 AM",42
Isla,"2020-04-05, 7:04 AM",151
Isla,"2020-04-05, 2:22 AM",221
Isla,"2020-04-04, 9:31 PM",221
Isla,"2020-04-04, 6:49 PM",126
Isla,"2020-04-04, 2:40 PM",181
Isla,"2020-04-04, 10:15 AM",185
Isla,"2020-04-04, 1:30 AM",252
Isla,"2020-04-03, 6:00 PM",231
Isla,"2020-04-03, 1:40 PM",154
Isla,"2020-04-03, 11:15 AM",106
Isla,"2020-04-03, 8:30 AM",164
Isla,"2020-04-03, 5:18 AM",172
Isla,"2020-04-02, 7:45 PM",127
Isla,"2020-04-02, 6:26 PM",34
